epoch,valid_rmse_f_meV_A,valid_rmse_e_meV_atom
foundation,234.43,117.6979
0,199.7950,117.01016
1,179.4590,115.42676
2,168.1801,112.09207
3,159.0488,106.49963
4,149.2243,98.22027
5,141.2602,89.81515
6,135.4258,80.63199
7,131.1683,72.32924
8,128.0032,62.77864
9,125.1096,55.22001
10,123.0232,46.25659
11,121.1752,37.00889
12,119.6790,27.97776
13,117.6441,21.32349
14,116.0675,14.72718
15,114.3042,9.86123
16,113.1708,5.86203
17,111.3616,3.82089
18,109.9619,2.43178
19,108.7830,2.40188
20,107.8776,2.95487
21,106.6705,3.37521
22,105.4259,4.17279
23,104.5968,4.65211
24,103.4863,4.64645
25,102.4693,4.48070
26,101.5143,4.07044
27,100.6404,4.01256
28,100.1923,4.65582
29,99.0703,3.96201
30,98.5662,3.85124
31,97.9540,4.13552
32,96.7085,3.50547
33,96.1573,3.91082
34,96.0978,4.57327
35,94.9982,4.04789
36,94.4595,4.29184
37,94.4534,4.71086
38,92.9961,3.43891
39,92.4269,3.31351
40,92.8334,4.44518
41,91.7923,4.27418
42,91.0225,3.96562
43,91.0980,4.62498
44,90.6178,4.80164
45,90.0424,4.30960
46,89.2202,3.81059
47,89.0716,3.68294
48,88.9594,3.94983
49,88.5172,3.70192
50,87.9843,3.33861
51,87.5150,3.17437
52,87.1553,3.00232
53,87.1761,3.00613
54,87.1600,3.29858
55,87.1591,3.42284
56,86.8530,3.63200
57,85.9768,3.47204
58,85.3897,3.13465
59,85.0812,3.50060
60,85.0018,3.42094
61,84.9263,3.58145
62,84.7283,3.71475
63,84.2515,3.84200
64,83.9632,3.84497
65,83.7810,3.85448
66,84.0076,3.86482
67,83.7321,3.58706
68,83.1112,3.44885
69,82.3301,2.69370
70,82.3900,3.10966
71,83.5674,3.97257
72,82.8171,3.15785
73,82.0554,2.76827
74,81.2996,2.59288
75,81.3629,3.13343
76,81.8107,3.28487
77,81.4413,3.18885
78,80.6735,2.79803
79,80.1682,2.76596
80,80.3726,4.17653
81,80.8741,4.58308
82,80.2586,3.85831
83,79.8733,3.13799
84,79.8876,2.64123
85,79.6047,2.62805
86,79.3543,2.76299
87,79.3767,2.72726
88,79.4832,2.75208
89,78.9015,3.25163
90,110.7280,6.63044
91,130.6785,49.01905
92,103.3500,20.81194
93,105.8524,36.91014
94,89.5046,12.26827
95,98.4219,22.28422
96,95.7567,12.47508
97,105.1888,19.18866
98,77.1942,18.15108
99,78.0130,1.23624
100,73.7117,5.89655
101,69.6342,8.94804
102,69.8395,4.16136
103,74.0855,7.62916
104,72.2124,14.23211
105,72.2176,11.38664
106,75.6466,3.40030
107,77.3252,3.19283
108,71.9148,2.83817
109,70.9557,5.31073
110,75.4504,1.36025
111,66.4135,9.56662
112,63.9303,1.67052
113,71.2890,5.28698
114,67.8868,3.22494
115,68.1347,8.84817
116,62.3605,3.26896
117,64.3899,3.25659
118,63.1785,3.34145
119,65.0839,3.77996
