row,mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
Cl 1.00,mace,600.0,524.392607053287,33.78855845146134,0.25638192851874536,0.011240474060363872,7.306515139810454,5.58070876027448,9.56601854379043,0.9997373955168635
Cl 1.00,mace,800.0,1323.2327897061912,79.34393001301736,0.25638192851874536,0.011240474060363872,7.306515139810454,5.58070876027448,9.56601854379043,0.9997373955168635
Cl 1.00,mace,1000.0,2293.965858758333,135.31000956708047,0.25638192851874536,0.011240474060363872,7.306515139810454,5.58070876027448,9.56601854379043,0.9997373955168635
Cl 1.25,mace,600.0,970.0791536209143,61.50634141735098,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
Cl 1.25,mace,800.0,1700.9692212083348,113.18363634681096,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
Cl 1.25,mace,1000.0,2946.889764738682,163.5508210889079,0.20822089045357003,0.010870172553118652,33.226241855610766,25.576873554861113,43.163334466175016,0.9863079389410658
Cl 1.50,mace,600.0,1425.8643102818808,76.45666101301664,0.16363642438192988,0.010742169605990353,122.5458698655519,95.47163659041347,157.29792383817446,0.9944249746863545
Cl 1.50,mace,800.0,2502.951255654793,125.91092656150882,0.16363642438192988,0.010742169605990353,122.5458698655519,95.47163659041347,157.29792383817446,0.9944249746863545
Cl 1.50,mace,1000.0,2940.0154041104092,203.65494409430207,0.16363642438192988,0.010742169605990353,122.5458698655519,95.47163659041347,157.29792383817446,0.9944249746863545
Cl 1.75,mace,600.0,1902.135697934596,115.66429424028256,0.1483665645979643,0.011402586358993768,212.81673379690974,162.72453329332617,278.32903414965443,0.9962849628762582
Cl 1.75,mace,800.0,2770.6496887170915,174.26129649052373,0.1483665645979643,0.011402586358993768,212.81673379690974,162.72453329332617,278.32903414965443,0.9962849628762582
Cl 1.75,mace,1000.0,3645.5704550907626,241.2395698765171,0.1483665645979643,0.011402586358993768,212.81673379690974,162.72453329332617,278.32903414965443,0.9962849628762582
