row,mlip,T_K,sigma_mS_cm,kinisi_sigma_std_mS_cm,fit_Ea_eV,fit_Ea_err_eV,fit_sigma300_mS_cm,fit_sigma300_min_mS_cm,fit_sigma300_max_mS_cm,fit_R2
"Li$_{20}$Si$_3$P$_3$S$_{23}$Cl
(P1 · prior 1st)",mace,600.0,709.2989128329818,80.03113365800529,0.19918077451056146,0.01889247904274538,28.85771065964004,18.264448841633968,45.59499559697645,0.9941604462240454
"Li$_{20}$Si$_3$P$_3$S$_{23}$Cl
(P1 · prior 1st)",mace,800.0,1266.0165328856021,97.73516407823516,0.19918077451056146,0.01889247904274538,28.85771065964004,18.264448841633968,45.59499559697645,0.9941604462240454
"Li$_{20}$Si$_3$P$_3$S$_{23}$Cl
(P1 · prior 1st)",mace,1000.0,1998.4833326543564,186.0704483944093,0.19918077451056146,0.01889247904274538,28.85771065964004,18.264448841633968,45.59499559697645,0.9941604462240454
"Li$_8$TiS$_6$
(P1 · prior 2nd)",mace,600.0,3.998115220969667,2.042708066221652,0.6020556953226492,0.03919496513441803,0.0008997513208491622,0.0003308858593161709,0.0024466214453614833,0.7653678711573291
"Li$_8$TiS$_6$
(P1 · prior 2nd)",mace,800.0,871.0087906186097,77.89999147641282,0.6020556953226492,0.03919496513441803,0.0008997513208491622,0.0003308858593161709,0.0024466214453614833,0.7653678711573291
"Li$_8$TiS$_6$
(P1 · prior 2nd)",mace,1000.0,2816.511870565503,262.3501827616889,0.6020556953226492,0.03919496513441803,0.0008997513208491622,0.0003308858593161709,0.0024466214453614833,0.7653678711573291
"Li$_3$PS$_4$ gen016
(P3 · prior 3rd)",mace,600.0,31.065044622829138,10.087587432748064,0.5451779638347299,0.03953361664010949,0.00553706582397296,0.0019981007402710056,0.015344120204294999,0.8689162512288244
"Li$_3$PS$_4$ gen016
(P3 · prior 3rd)",mace,800.0,2396.2611715464973,380.84899010646245,0.5451779638347299,0.03953361664010949,0.00553706582397296,0.0019981007402710056,0.015344120204294999,0.8689162512288244
"Li$_3$PS$_4$ gen016
(P3 · prior 3rd)",mace,1000.0,3426.9025282608154,368.0777085336877,0.5451779638347299,0.03953361664010949,0.00553706582397296,0.0019981007402710056,0.015344120204294999,0.8689162512288244
"LiPS$_3$ gen021
(P3 · prior 4th)",mace,600.0,582.6001252122124,84.81778916943964,0.24338473045716266,0.028246651780557182,10.351600597900521,5.36601440045525,19.969315574211468,0.9955983882254987
"LiPS$_3$ gen021
(P3 · prior 4th)",mace,800.0,1287.0719516934594,255.14286107819694,0.24338473045716266,0.028246651780557182,10.351600597900521,5.36601440045525,19.969315574211468,0.9955983882254987
"LiPS$_3$ gen021
(P3 · prior 4th)",mace,1000.0,2343.825386344452,394.6222812812211,0.24338473045716266,0.028246651780557182,10.351600597900521,5.36601440045525,19.969315574211468,0.9955983882254987
